Package,Built
Amelia,3.4.4
assertthat,3.4.0
backports,3.4.3
base,3.4.2
base64enc,3.4.0
BH,3.4.3
bindr,3.4.4
bindrcpp,3.4.4
bit,3.4.4
bit64,3.4.0
bitops,3.4.0
blob,3.4.4
boot,3.4.2
broom,3.4.4
callr,3.4.4
caTools,3.4.0
cellranger,3.4.0
class,3.4.2
cli,3.4.2
clipr,3.4.2
cluster,3.4.2
codetools,3.4.2
colorspace,3.4.0
compiler,3.4.2
crayon,3.4.1
crosstalk,3.4.0
curl,3.4.4
d3scatter,3.4.2
DAAG,3.4.0
data.table,3.4.4
datasets,3.4.2
DBI,3.4.4
dbplyr,3.4.3
devtools,3.4.3
dichromat,3.4.0
digest,3.4.3
downloader,3.4.0
dplyr,3.4.4
etl,3.4.2
evaluate,3.4.1
fec,3.4.2
forcats,3.4.3
foreign,3.4.2
GGally,3.4.4
ggplot2,3.4.2
ggthemes,3.4.4
git2r,3.4.3
glue,3.4.2
graphics,3.4.2
grDevices,3.4.2
grid,3.4.2
gridExtra,3.4.1
gtable,3.4.0
haven,3.4.3
hexbin,3.4.3
highr,3.4.2
hms,3.4.4
htmltools,3.4.0
htmlwidgets,3.4.4
httpuv,3.4.4
httr,3.4.1
jsonlite,3.4.0
KernSmooth,3.4.2
knitr,3.4.3
labeling,3.4.0
later,3.4.2
lattice,3.4.2
latticeExtra,3.4.0
lazyeval,3.4.2
leaflet,3.4.2
lubridate,3.4.4
magrittr,3.4.0
maptools,3.4.0
markdown,3.4.0
MASS,3.4.2
Matrix,3.4.2
memoise,3.4.0
methods,3.4.2
mgcv,3.4.2
mime,3.4.0
mnormt,3.4.0
modelr,3.4.4
munsell,3.4.2
nlme,3.4.2
nnet,3.4.2
openssl,3.4.3
parallel,3.4.2
pillar,3.4.4
pkgconfig,3.4.0
plogr,3.4.4
plotly,3.4.1
plyr,3.4.0
png,3.4.0
praise,3.4.0
prettyunits,3.4.0
processx,3.4.4
progress,3.4.2
promises,3.4.4
psych,3.4.4
purrr,3.4.4
R6,3.4.0
raster,3.4.2
RColorBrewer,3.4.0
Rcpp,3.4.4
RCurl,3.4.3
readr,3.4.0
readxl,3.4.4
rematch,3.4.0
reprex,3.4.2
reshape,3.4.1
reshape2,3.4.3
rgeos,3.4.4
rlang,3.4.4
rmarkdown,3.4.2
rpart,3.4.2
RPostgreSQL,3.4.1
rprojroot,3.4.3
RSQLite,3.4.4
rstudioapi,3.4.1
rvest,3.4.0
scales,3.4.1
selectr,3.4.4
shiny,3.4.4
sourcetools,3.4.4
sp,3.4.2
spatial,3.4.2
splines,3.4.2
stats,3.4.2
stats4,3.4.2
stringi,3.4.2
stringr,3.4.4
survival,3.4.2
tcltk,3.4.2
testthat,3.4.3
tibble,3.4.3
tidyr,3.4.4
tidyselect,3.4.3
tidyverse,3.4.2
tinytex,3.4.4
tools,3.4.2
utf8,3.4.2
utils,3.4.2
viridis,3.4.4
viridisLite,3.4.3
whisker,3.4.0
withr,3.4.4
xml2,3.4.3
xtable,3.4.0
yaml,3.4.4
